Name,Company,Title,Phone,Personal Phone,Email,Chance,Segment
Rindra Yudhadisastra,RY & Partners,Ketua Bidang Sekretariat AKPI,+62-21-51400000,+62-811-6666-555,rindra@ry-law.id,80%,AKPI Committee
Andro B. King Simanjuntak,ABK Law Office,Ketua AKPI Wilayah Sumatera,+62-61-4560000,+62-812-7777-666,andro@abk-law.id,85%,AKPI Regional Hub
Teddy Anwar,Teddy Anwar & Partners,Senior Kurator / Partner,+62-21-52900000,+62-811-8888-777,teddy@ta-law.id,85%,High Volume
Ariyanto,Ariyanto Arnaldo Law Firm,Partner / Kurator,+62-21-57950000,+62-812-9999-888,ariyanto@aalf.id,80%,Active Practitioner
Arnaldo J.R. Soares,Ariyanto Arnaldo Law Firm,Partner / Kurator,+62-21-57950000,+62-813-0000-999,arnaldo@aalf.id,80%,Active Practitioner
Haryo Teguh,Haryo Teguh & Partners,Partner / Kurator,+62-21-29000000,+62-812-1111-222,haryo@htp-law.id,80%,Active Practitioner
Sitorus,Sitorus & Associates,Partner / Kurator,+62-21-57600000,+62-811-2222-333,sitorus@sa-law.id,85%,Active Practitioner
"Rina Tanjung, S.H.",Tanjung Advocaten,Senior Kurator,+62-21-4850000,+62-878-3149-7606,rina.tanjung@tanjungadvocaten.id,73%,Boutique Firm
"Agus Sembiring, S.H.",Sembiring & Partners,Partner (Restructuring),+62-21-8230000,+62-813-6969-1357,agus.sembiring@sembiringpartners.id,56%,Boutique Firm
"Hendra Tanjung, S.H.",Tanjung & Partners,Administrator PKPU,+62-21-2360000,+62-878-4047-3506,hendra.tanjung@tanjungpartners.id,71%,AKPI Member
"Sandi Sitepu, S.H.",Sitepu & Partners,Kurator & Pengurus,+62-21-9080000,+62-812-6986-6175,sandi.sitepu@sitepupartners.id,90%,Boutique Firm
"Budi Lubis, S.H.",Lubis & Partners,Senior Kurator,+62-21-8060000,+62-821-2240-0158,budi.lubis@lubispartners.id,68%,Insolvency Expert
"Anita Harahap, S.H.",Harahap Partnership,Kurator & Pengurus,+62-21-4310000,+62-812-5969-6306,anita.harahap@harahappartnership.id,84%,HKPI Member
"Anita Ginting, S.H.",Ginting Law Firm,Kurator & Pengurus,+62-21-3400000,+62-813-2600-0471,anita.ginting@gintinglawfirm.id,88%,HKPI Member
"Agus Ginting, S.H.",Ginting Partnership,Senior Kurator,+62-21-2480000,+62-818-2639-8866,agus.ginting@gintingpartnership.id,55%,Boutique Firm
"Indra Ginting, S.H.",Ginting Partnership,Administrator PKPU,+62-21-4750000,+62-818-8519-6988,indra.ginting@gintingpartnership.id,79%,Boutique Firm
"Taufik Simatupang, S.H.",Simatupang & Partners,Partner (Restructuring),+62-21-9320000,+62-813-4908-5671,taufik.simatupang@simatupangpartners.id,66%,Insolvency Expert
"Maya Pangaribuan, S.H.",Pangaribuan & Co,Administrator PKPU,+62-21-3750000,+62-812-2836-1024,maya.pangaribuan@pangaribuanco.id,56%,AKPI Member
"Maya Tanjung, S.H.",Tanjung & Co,Administrator PKPU,+62-21-2160000,+62-813-7614-7448,maya.tanjung@tanjungco.id,89%,HKPI Member
"Pratama Karo-Karo, S.H.",Karo-Karo Advocaten,Senior Kurator,+62-21-9440000,+62-818-3969-4879,pratama.karo-karo@karokaroadvocaten.id,82%,AKPI Member
"Budi Panjaitan, S.H.",Panjaitan Law Firm,Partner (Restructuring),+62-21-6430000,+62-819-2698-7309,budi.panjaitan@panjaitanlawfirm.id,84%,AKPI Member
"Indra Nasution, S.H.",Nasution Law Firm,Senior Kurator,+62-21-9900000,+62-812-7544-0244,indra.nasution@nasutionlawfirm.id,82%,Insolvency Expert
"Maya Siregar, S.H.",Siregar & Partners,Kurator & Pengurus,+62-21-6200000,+62-818-5491-7839,maya.siregar@siregarpartners.id,51%,HKPI Member
"Budi Karo-Karo, S.H.",Karo-Karo Law Office,Kurator & Pengurus,+62-21-4900000,+62-878-7021-2200,budi.karo-karo@karokarolawoffice.id,79%,Insolvency Expert
"Budi Lubis, S.H.",Lubis & Partners,Kurator & Pengurus,+62-21-8610000,+62-819-1117-5702,budi.lubis@lubispartners.id,75%,Boutique Firm
"Anita Pangaribuan, S.H.",Pangaribuan Partnership,Partner (Restructuring),+62-21-4670000,+62-818-0004-9924,anita.pangaribuan@pangaribuanpartnership.id,60%,AKPI Member
"Hidayat Tarigan, S.H.",Tarigan Advocaten,Administrator PKPU,+62-21-6820000,+62-821-9973-0624,hidayat.tarigan@tariganadvocaten.id,62%,AKPI Member
"Aditya Siahaan, S.H.",Siahaan Advocaten,Senior Kurator,+62-21-3950000,+62-821-1604-3164,aditya.siahaan@siahaanadvocaten.id,55%,AKPI Member
"Hidayat Pangaribuan, S.H.",Pangaribuan Partnership,Kurator & Pengurus,+62-21-5590000,+62-878-0926-9517,hidayat.pangaribuan@pangaribuanpartnership.id,79%,AKPI Member
"Rina Panjaitan, S.H.",Panjaitan & Partners,Administrator PKPU,+62-21-9150000,+62-819-0502-4270,rina.panjaitan@panjaitanpartners.id,79%,Insolvency Expert
"Budi Siahaan, S.H.",Siahaan & Partners,Senior Kurator,+62-21-5250000,+62-818-2653-9425,budi.siahaan@siahaanpartners.id,52%,Insolvency Expert
"Hidayat Sitepu, S.H.",Sitepu Partnership,Administrator PKPU,+62-21-6550000,+62-811-2081-1292,hidayat.sitepu@sitepupartnership.id,63%,HKPI Member
"Wahyudi Gultom, S.H.",Gultom Partnership,Senior Kurator,+62-21-8440000,+62-878-3983-9279,wahyudi.gultom@gultompartnership.id,89%,HKPI Member
"Hidayat Harahap, S.H.",Harahap & Partners,Partner (Restructuring),+62-21-4960000,+62-878-7845-6171,hidayat.harahap@harahappartners.id,71%,Insolvency Expert
"Wahyudi Hutagalung, S.H.",Hutagalung Law Office,Administrator PKPU,+62-21-5940000,+62-878-3379-1928,wahyudi.hutagalung@hutagalunglawoffice.id,62%,Boutique Firm
"Fitri Sembiring, S.H.",Sembiring Law Office,Senior Kurator,+62-21-7960000,+62-811-6471-8918,fitri.sembiring@sembiringlawoffice.id,60%,HKPI Member
"Wahyudi Pangaribuan, S.H.",Pangaribuan & Partners,Administrator PKPU,+62-21-6230000,+62-878-6623-4049,wahyudi.pangaribuan@pangaribuanpartners.id,68%,Boutique Firm
"Taufik Lubis, S.H.",Lubis & Co,Kurator & Pengurus,+62-21-9980000,+62-821-5104-0401,taufik.lubis@lubisco.id,51%,AKPI Member
"Fitri Gultom, S.H.",Gultom & Co,Administrator PKPU,+62-21-8740000,+62-813-9560-6586,fitri.gultom@gultomco.id,68%,AKPI Member
"Wahyudi Siregar, S.H.",Siregar Partnership,Senior Kurator,+62-21-5720000,+62-821-2667-3655,wahyudi.siregar@siregarpartnership.id,50%,AKPI Member
"Pratama Tanjung, S.H.",Tanjung & Co,Partner (Restructuring),+62-21-6460000,+62-811-0936-1755,pratama.tanjung@tanjungco.id,89%,Insolvency Expert
"Fitri Pangaribuan, S.H.",Pangaribuan Law Office,Administrator PKPU,+62-21-8430000,+62-819-0077-8255,fitri.pangaribuan@pangaribuanlawoffice.id,59%,AKPI Member
"Indra Tobing, S.H.",Tobing & Co,Administrator PKPU,+62-21-8000000,+62-811-5762-4837,indra.tobing@tobingco.id,65%,AKPI Member
"Anita Lubis, S.H.",Lubis Advocaten,Administrator PKPU,+62-21-4550000,+62-878-2241-9833,anita.lubis@lubisadvocaten.id,62%,Insolvency Expert
"Wahyudi Hutagalung, S.H.",Hutagalung Advocaten,Partner (Restructuring),+62-21-4560000,+62-819-1012-2757,wahyudi.hutagalung@hutagalungadvocaten.id,80%,Insolvency Expert
"Aditya Tobing, S.H.",Tobing & Partners,Kurator & Pengurus,+62-21-5610000,+62-811-4807-8488,aditya.tobing@tobingpartners.id,68%,Boutique Firm
"Budi Tanjung, S.H.",Tanjung & Co,Partner (Restructuring),+62-21-8000000,+62-813-2561-2961,budi.tanjung@tanjungco.id,52%,AKPI Member
"Maya Tobing, S.H.",Tobing Advocaten,Senior Kurator,+62-21-7450000,+62-818-5094-9893,maya.tobing@tobingadvocaten.id,54%,HKPI Member
"Dewi Harahap, S.H.",Harahap & Partners,Kurator & Pengurus,+62-21-8670000,+62-811-1712-5835,dewi.harahap@harahappartners.id,75%,Insolvency Expert
"Siska Siregar, S.H.",Siregar Law Firm,Administrator PKPU,+62-21-3420000,+62-812-7530-2833,siska.siregar@siregarlawfirm.id,50%,AKPI Member
"Indra Karo-Karo, S.H.",Karo-Karo Partnership,Administrator PKPU,+62-21-3840000,+62-811-6026-7826,indra.karo-karo@karokaropartnership.id,88%,Boutique Firm
"Agus Manurung, S.H.",Manurung & Co,Kurator & Pengurus,+62-21-5360000,+62-812-5140-1310,agus.manurung@manurungco.id,54%,Boutique Firm
"Maya Hutagalung, S.H.",Hutagalung Law Office,Administrator PKPU,+62-21-4990000,+62-819-8136-2719,maya.hutagalung@hutagalunglawoffice.id,61%,HKPI Member
"Rina Gultom, S.H.",Gultom Law Firm,Administrator PKPU,+62-21-4820000,+62-821-7626-6864,rina.gultom@gultomlawfirm.id,82%,HKPI Member
"Wahyudi Manurung, S.H.",Manurung Advocaten,Senior Kurator,+62-21-8930000,+62-821-6577-3093,wahyudi.manurung@manurungadvocaten.id,90%,Insolvency Expert
"Taufik Panjaitan, S.H.",Panjaitan Law Office,Administrator PKPU,+62-21-6160000,+62-878-8607-1226,taufik.panjaitan@panjaitanlawoffice.id,81%,HKPI Member
"Fitri Sembiring, S.H.",Sembiring & Partners,Administrator PKPU,+62-21-4210000,+62-821-7592-7406,fitri.sembiring@sembiringpartners.id,80%,Boutique Firm
"Indra Sitepu, S.H.",Sitepu Law Office,Senior Kurator,+62-21-2250000,+62-812-8252-7868,indra.sitepu@sitepulawoffice.id,80%,HKPI Member
"Hidayat Hutagalung, S.H.",Hutagalung Law Office,Senior Kurator,+62-21-5330000,+62-878-4734-2666,hidayat.hutagalung@hutagalunglawoffice.id,78%,HKPI Member
"Wahyudi Tarigan, S.H.",Tarigan Partnership,Administrator PKPU,+62-21-6400000,+62-813-5537-1669,wahyudi.tarigan@tariganpartnership.id,82%,Boutique Firm
"Taufik Simanjuntak, S.H.",Simanjuntak Partnership,Partner (Restructuring),+62-21-7230000,+62-878-6896-1214,taufik.simanjuntak@simanjuntakpartnership.id,89%,AKPI Member
"Anita Tanjung, S.H.",Tanjung Partnership,Partner (Restructuring),+62-21-6230000,+62-819-6154-9066,anita.tanjung@tanjungpartnership.id,84%,Boutique Firm
"Indra Harahap, S.H.",Harahap & Partners,Kurator & Pengurus,+62-21-7490000,+62-811-6675-0596,indra.harahap@harahappartners.id,71%,Boutique Firm
